"threshold","min_area","blur_ksize","morph_ksize","over_cnt","over_total","over_pct","under_cnt","under_total","under_pct","mean_ms"
"50","50","5","5","8","23","34.78","41","109","37.61","10.7691"
"50","100","5","5","8","23","34.78","45","109","41.28","9.2695"
"50","150","5","5","8","23","34.78","47","109","43.12","8.28727"
"50","200","5","5","8","23","34.78","50","109","45.87","8.30945"
"50","300","5","5","8","23","34.78","51","109","46.79","8.60658"
"50","400","5","5","8","23","34.78","55","109","50.46","10.08"
"50","600","5","5","4","23","17.39","62","109","56.88","9.55303"
"50","800","5","5","1","23","4.35","70","109","64.22","7.53008"
