"threshold","min_area","blur_ksize","morph_ksize","over_cnt","over_total","over_pct","under_cnt","under_total","under_pct","mean_ms"
"50","50","3","5","9","23","39.13","41","109","37.61","8.42463"
"50","50","5","5","8","23","34.78","41","109","37.61","8.25087"
"50","50","7","5","8","23","34.78","42","109","38.53","9.25825"
"50","50","9","5","8","23","34.78","43","109","39.45","8.24301"
"50","50","11","5","8","23","34.78","46","109","42.2","8.57469"
"50","50","13","5","7","23","30.43","49","109","44.95","8.42709"
"50","50","15","5","5","23","21.74","51","109","46.79","8.74394"
