"k","sigma_min","min_area","blur_ksize","morph_ksize","over_cnt","over_total","over_pct","under_cnt","under_total","under_pct","mean_ms"
"2.5","3","50","5","5","19","23","82.61","2","109","1.83","23.1321"
"3","3","50","5","5","16","23","69.57","4","109","3.67","29.9961"
"3.5","3","50","5","5","15","23","65.22","7","109","6.42","25.287"
"4","3","50","5","5","13","23","56.52","14","109","12.84","24.0587"
"4.5","3","50","5","5","10","23","43.48","24","109","22.02","22.5957"
"5","3","50","5","5","8","23","34.78","35","109","32.11","22.9584"
"5.5","3","50","5","5","8","23","34.78","40","109","36.7","22.2875"
"6","3","50","5","5","8","23","34.78","42","109","38.53","19.3262"
